,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,class
72,127,30,1,2,1,0,1,639,12,6,2
73,128,34,1,3,1,0,1,1860,12,1,1
74,129,29,0,2,1,0,0,3499,12,1,2
75,131,29,1,2,1,0,0,6887,36,3,2
76,137,66,1,1,1,2,1,766,12,5,2
77,139,44,0,1,2,0,2,1881,12,5,1
78,140,27,1,0,1,3,2,709,6,1,1
79,141,30,0,3,1,0,1,4795,36,5,1
80,142,27,1,3,1,0,0,3416,27,5,1
81,143,22,1,2,1,0,0,2462,18,4,2
82,145,30,1,2,1,1,1,3566,48,0,1
83,146,39,0,2,1,0,0,860,6,1,1
84,148,28,1,2,1,0,0,5371,36,4,1
85,152,24,1,2,1,0,2,5848,36,5,1
86,153,29,0,2,2,3,1,7758,24,1,1
87,154,36,1,3,2,1,1,6967,24,0,1
88,155,20,0,2,2,0,0,1282,12,4,2
89,156,48,1,2,1,1,0,1288,9,6,1
90,157,45,1,1,1,0,0,339,12,3,1
91,158,38,1,2,1,1,1,3512,24,1,1
92,163,70,1,3,0,0,1,7308,10,1,1
93,166,33,0,2,1,0,0,1131,18,4,2
94,167,20,0,2,1,3,1,1577,11,4,1
95,169,31,1,2,1,0,1,1935,24,0,2
96,170,33,1,2,2,0,0,950,15,1,2
97,172,34,0,3,1,0,1,2064,24,4,2
98,173,33,1,2,1,0,1,1414,8,5,1
99,174,26,1,2,1,0,0,3414,21,3,2
100,176,42,1,2,1,0,0,2577,12,4,1
101,177,52,1,2,1,2,0,338,6,5,1
102,179,65,1,2,1,0,0,571,21,1,1
103,181,30,1,3,1,0,1,4455,36,0,2
104,184,36,1,2,1,0,1,884,18,1,2
105,186,74,0,3,0,0,1,5129,9,1,2
106,187,68,1,0,0,0,1,1175,16,1,1
107,188,20,1,2,1,1,0,674,12,5,2
108,189,33,0,2,1,0,1,3244,18,4,1
109,191,34,1,1,0,1,1,3844,48,0,2
110,192,36,1,2,1,0,1,3915,27,0,2
111,194,21,1,2,2,1,1,3031,45,5,2
112,195,34,0,3,1,0,1,1501,9,3,2
113,197,27,0,2,2,1,1,951,12,4,2
114,199,40,1,3,1,0,1,4297,18,4,2
115,201,27,1,1,1,0,0,1168,12,1,1
116,203,21,1,2,2,0,0,902,12,3,2
117,205,38,1,3,0,0,0,10623,30,1,1
118,207,26,1,2,1,0,1,1424,12,2,1
119,208,21,1,1,1,0,0,6568,24,0,1
120,212,50,1,2,1,0,0,5293,27,0,2
121,213,66,1,3,1,0,2,1908,30,0,2
122,216,31,1,2,1,0,0,3104,18,0,1
123,217,23,1,2,1,0,2,3913,36,5,1
124,218,24,1,1,2,0,0,3021,24,4,1
125,220,26,1,1,1,0,1,625,12,5,1
126,226,27,1,2,1,3,1,10961,48,5,2
127,227,53,1,3,0,0,0,7865,12,4,2
128,229,22,1,2,0,0,0,3149,24,4,1
129,230,26,1,2,1,0,2,4210,36,5,2
130,233,25,1,1,1,0,1,866,18,5,1
131,235,30,1,3,1,0,0,1823,24,5,2
132,237,61,1,1,2,1,1,2767,21,0,2
133,239,39,1,2,1,0,0,2522,30,5,1
134,242,24,1,2,0,0,0,4605,48,1,2
135,248,26,1,2,1,0,2,1925,24,4,1
136,250,39,0,1,1,3,0,666,6,1,1
137,251,46,0,1,1,0,2,2251,12,4,1
138,252,24,0,2,1,0,1,2150,30,1,2
139,257,29,1,2,0,0,0,2149,12,5,2
140,260,27,1,2,1,0,0,1657,12,4,1
141,261,55,0,2,1,0,0,1603,24,5,1
142,262,36,1,3,0,0,0,5302,18,1,1
143,265,37,1,2,1,0,1,802,15,5,2
144,268,45,1,3,1,0,0,8978,14,1,2
145,273,28,1,2,1,0,1,3060,48,5,2
146,274,34,1,1,1,0,0,11998,30,6,2
147,284,37,1,2,1,1,1,3878,24,1,1
148,285,35,0,1,1,0,0,10722,47,1,1
149,286,26,1,2,1,0,0,4788,48,1,1
150,287,31,1,3,0,1,1,7582,48,7,1
151,288,49,0,2,1,0,1,1092,12,5,1
152,289,48,1,2,1,0,0,1024,24,5,2
153,291,28,1,3,2,0,1,9398,36,1,2
154,292,44,0,3,0,0,0,6419,24,1,1
155,293,56,1,2,0,0,2,4796,42,1,1
156,295,26,0,2,1,0,1,9960,48,4,2
157,299,32,1,2,1,3,1,2745,21,4,1
158,301,42,0,2,1,0,1,3804,36,5,2
159,303,49,1,2,1,0,0,1038,10,1,1
160,307,33,1,1,1,1,0,727,12,5,2
161,308,24,0,2,1,0,1,1237,8,4,2
162,309,22,1,1,2,0,1,276,9,1,1
163,312,26,0,2,1,0,2,3749,24,4,1
164,313,25,1,1,1,0,1,685,12,1,2
165,315,31,1,2,1,0,0,2746,36,4,2
166,316,38,1,1,1,0,0,708,12,4,1
167,319,27,0,1,1,0,0,3643,15,4,1
168,320,28,1,3,1,0,1,4249,30,1,2
169,321,32,1,2,1,0,0,1938,24,5,2
170,322,34,1,3,0,0,0,2910,24,1,1
171,323,28,1,2,1,3,0,2659,18,4,1
172,325,39,1,1,1,0,0,3398,8,1,1
173,328,31,1,2,1,0,2,4473,36,5,1
174,329,28,1,2,1,0,1,1068,6,5,1
175,330,75,1,3,0,0,0,6615,24,1,1
176,332,24,0,3,1,1,1,7408,60,1,2
177,334,23,1,2,2,0,0,4110,24,4,2
178,335,44,1,3,2,0,0,3384,6,4,2
179,336,23,0,1,1,0,1,2101,13,5,1
180,338,28,1,2,1,0,0,4169,24,4,1
181,339,31,1,1,1,0,1,1521,10,4,1
182,340,24,0,2,0,0,1,5743,24,3,1
183,341,26,0,1,2,0,0,3599,21,4,1
184,342,25,1,2,2,2,1,3213,18,5,1
185,343,33,1,3,1,0,1,4439,18,0,1
186,344,37,1,1,1,0,2,3949,10,1,1
187,346,23,1,2,1,0,1,882,13,5,1
188,347,23,0,0,2,2,1,3758,24,5,1
189,349,32,1,2,0,3,1,1136,9,3,2
190,351,29,0,2,1,0,1,959,9,4,2
191,353,28,1,2,2,0,0,6199,12,5,2
192,355,23,1,1,1,0,1,1246,24,1,2
193,359,23,0,2,2,0,0,2406,30,4,2
194,362,36,0,2,1,0,2,2247,12,1,1
195,364,25,1,0,1,0,0,2473,18,4,2
196,367,22,0,2,2,0,0,3650,18,4,1
197,368,42,1,2,1,0,0,3446,36,4,2
198,369,40,0,2,2,0,1,3001,18,4,1
199,374,60,0,3,0,1,1,14782,60,7,2
200,375,37,0,2,2,0,0,7685,48,0,2
201,378,57,1,3,0,0,1,14318,36,1,2
202,381,38,0,3,0,0,1,12976,18,1,2
203,383,26,1,2,1,0,2,1330,12,1,1
204,387,40,1,3,1,0,1,7374,18,4,1
205,388,27,1,2,1,2,1,2326,15,0,1
206,391,19,0,1,2,3,1,983,12,4,1
207,392,39,1,3,0,0,0,3249,36,1,1
208,393,31,0,2,1,0,0,1957,6,5,1
209,395,32,1,2,2,1,1,11760,39,3,1
210,396,55,0,3,0,0,0,2578,12,4,1
211,397,46,1,2,1,0,0,2348,36,4,1
212,398,46,1,2,2,0,1,1223,12,1,2
213,405,22,1,2,1,0,1,2039,24,5,2
214,407,27,1,2,1,0,0,1053,15,5,1
215,409,28,1,2,1,2,2,939,12,1,2
216,410,20,0,2,1,0,1,1967,24,5,1
217,416,33,1,1,1,0,0,2579,12,1,2
218,422,47,1,1,1,0,1,958,12,1,1
219,425,21,1,2,2,0,1,2779,18,1,1
220,429,55,0,0,0,0,0,1190,18,6,2
221,431,29,1,3,1,0,1,11328,24,7,2
222,432,36,1,3,0,0,0,1872,6,4,1
223,434,25,1,2,1,0,0,2136,9,4,1
224,438,65,1,0,1,0,0,3394,42,6,1
225,439,26,0,0,1,0,2,609,12,0,2
226,441,30,0,2,1,0,0,1620,12,4,1
227,442,29,1,2,1,0,1,2629,20,7,1
228,444,30,0,3,1,0,1,5096,48,4,2
229,446,34,0,2,1,0,0,1842,36,1,2
230,447,35,1,2,1,0,1,2576,7,5,1
231,449,61,1,2,1,3,1,1512,15,6,2
232,454,31,1,2,1,0,0,4817,24,1,2
233,456,36,1,2,2,0,0,3905,11,1,1
234,457,35,1,2,0,0,0,3386,12,1,2
235,458,27,0,2,1,0,0,343,6,2,1
236,460,37,1,2,1,0,0,3620,36,4,1
237,461,36,1,2,1,0,0,1721,15,1,1
238,462,34,0,3,2,0,1,3017,12,4,1
239,465,63,1,2,1,0,0,2924,24,1,1
240,466,29,0,1,2,0,0,1659,24,5,2
241,470,22,1,2,2,1,1,3092,24,5,2
242,471,23,0,2,1,0,0,448,6,3,2
243,472,28,1,1,1,0,0,654,9,1,2
244,474,33,1,2,1,0,1,1245,18,5,2
245,475,26,0,2,2,0,0,3114,18,4,2
246,477,25,1,2,1,0,2,5152,24,5,1
247,478,39,1,1,1,1,1,1037,12,0,1
248,479,44,1,2,1,0,0,1478,15,4,1
249,480,23,0,1,1,0,1,3573,12,5,1
250,481,26,1,2,1,0,1,1201,24,1,1
251,482,57,0,2,2,3,0,3622,30,4,1
252,485,47,1,3,1,0,1,1209,6,1,2
253,491,42,0,3,0,0,1,8318,27,0,2
254,494,39,1,1,2,0,0,2122,12,1,1
255,496,29,1,3,2,1,1,9034,36,4,2
256,498,32,1,1,1,0,1,1301,18,5,1
257,499,28,1,2,1,1,2,1323,6,1,1
258,500,27,0,2,1,0,0,3123,24,1,2
259,501,42,1,2,0,0,0,5493,36,1,1
260,502,49,1,2,1,1,2,1126,9,5,1
261,503,38,1,2,1,1,1,1216,24,5,2
262,504,24,0,2,2,0,0,1207,24,1,2
263,506,36,1,2,1,2,2,2360,15,1,1
264,507,34,1,3,1,1,1,6850,15,1,2
265,510,26,1,2,1,0,0,759,12,1,2
266,512,26,1,2,2,0,2,2687,15,0,1
267,513,20,1,2,2,0,1,585,12,5,1
268,515,37,0,2,1,0,0,609,6,1,1
269,516,40,1,1,1,0,0,1361,6,1,1
270,518,43,1,2,1,1,0,1203,6,1,1
271,521,24,0,2,1,0,0,3190,18,5,2
272,522,53,1,2,0,0,0,7119,48,4,2
273,524,26,0,1,1,0,1,1113,18,5,1
274,525,30,1,2,1,0,1,7966,26,1,1
275,528,31,1,2,2,0,0,2302,36,5,2
276,529,41,1,1,1,0,0,662,6,1,1
277,530,32,1,2,1,0,1,2273,36,3,1
278,531,28,0,2,2,1,1,2631,15,1,2
279,535,33,1,2,2,0,2,2319,21,3,2
280,537,37,0,2,1,0,1,3612,18,4,1
281,538,42,1,3,0,0,0,7763,48,1,2
282,539,45,0,1,1,0,2,3049,18,4,1
283,540,23,1,2,2,0,1,1534,12,5,2
284,543,34,1,1,1,0,2,2864,18,4,2
285,545,43,1,2,0,0,0,1333,24,1,2
286,548,24,0,1,1,0,0,626,12,5,2
287,552,34,1,2,1,0,0,6999,48,5,2
288,553,27,1,2,1,1,1,1995,12,1,1
289,554,67,0,3,1,0,1,1199,9,3,1
290,555,22,1,2,1,0,1,1331,12,5,2
291,556,28,0,2,1,1,1,2278,18,1,2
292,558,27,1,2,1,0,0,3552,24,4,2
293,559,31,1,1,1,0,1,1928,18,4,2
294,561,24,1,1,2,0,0,1546,24,5,2
295,562,29,0,2,1,0,2,683,6,5,1
296,565,23,0,2,2,1,1,1553,24,5,1
297,566,36,1,2,1,0,0,1372,12,1,2
298,569,31,0,2,1,0,0,6758,48,5,2
299,570,23,0,1,2,0,0,3234,24,4,2
300,573,22,0,1,1,0,0,806,15,0,1
301,574,27,1,1,1,0,1,1082,9,5,1
302,576,27,0,2,1,0,1,2930,12,5,1
303,578,27,1,2,1,0,1,2820,36,1,2
304,580,30,1,2,1,0,1,1056,18,1,2
305,581,49,1,1,1,0,1,3124,12,1,1
306,583,33,1,1,2,0,1,2384,36,6,2
307,585,20,0,2,2,0,0,2039,18,4,2
308,586,36,1,2,2,0,0,2799,9,1,1
309,587,21,1,1,1,0,0,1289,12,4,1
310,588,47,1,1,1,0,0,1217,18,2,2
311,589,60,1,2,1,0,0,2246,12,4,2
312,590,58,0,1,1,0,0,385,12,5,1
313,593,20,0,1,2,0,1,2718,24,1,2
314,595,32,0,1,1,1,1,931,6,1,2
315,596,23,0,2,2,0,0,1442,24,1,2
316,597,36,1,1,1,0,1,4241,24,0,2
317,600,45,0,2,1,0,1,2329,7,5,1
318,601,30,0,2,1,0,1,918,9,4,2
319,602,34,0,1,0,0,1,1837,24,3,2
320,604,23,0,2,1,0,2,1275,10,4,1
321,605,22,1,2,1,2,0,2828,24,4,1
322,607,50,0,2,0,1,1,2671,36,5,2
323,610,22,0,2,1,1,0,741,12,2,2
324,611,48,0,1,0,1,2,1240,10,1,2
325,612,29,0,2,1,3,0,3357,21,5,1
326,613,22,0,2,2,0,0,3632,24,1,1
327,617,37,1,2,2,0,0,3676,6,1,1
328,618,21,0,2,2,1,1,3441,30,4,2
329,620,27,1,2,1,0,1,3652,21,0,1
330,623,22,0,2,2,0,0,1858,12,4,1
331,624,65,1,2,0,0,0,2600,18,5,2
332,626,41,1,2,1,0,2,2116,6,4,1
333,627,29,1,2,1,1,1,1437,9,1,2
334,630,28,0,2,1,0,0,3660,24,5,1
335,631,44,1,2,1,0,0,1553,18,4,2
336,634,25,0,1,1,0,1,1355,24,1,2
337,639,26,1,2,1,0,0,4370,42,5,2
338,640,27,0,0,1,0,0,750,18,3,2
339,641,38,1,1,1,0,1,1308,15,6,1
340,644,32,1,3,1,0,0,1880,18,5,1
341,646,32,1,2,1,0,0,4583,30,4,1
342,648,38,1,2,0,0,2,947,24,1,2
343,649,40,1,1,2,0,0,684,12,3,2
344,650,50,1,3,0,0,0,7476,48,3,1
345,651,37,1,1,1,0,1,1922,12,4,2
346,652,45,1,2,1,0,0,2303,24,1,2
347,653,42,1,3,1,1,1,8086,36,1,2
348,655,22,1,2,0,0,0,3973,14,1,1
349,656,41,1,1,1,0,1,888,12,1,2
350,658,28,0,2,1,0,1,4221,30,0,1
351,659,41,1,2,1,0,1,6361,18,4,1
352,660,23,1,2,2,0,2,1297,12,5,1
353,663,35,1,3,1,0,1,1050,6,4,1
354,664,50,0,1,1,0,2,1047,6,3,1
355,666,34,1,2,1,3,1,3496,30,4,1
356,668,43,1,2,2,0,0,4843,12,1,2
357,669,47,1,2,1,0,2,3017,30,5,1
358,677,24,1,2,1,1,1,5595,72,5,2
359,678,64,1,1,2,0,0,2384,24,5,1
360,684,31,1,1,1,1,1,9857,36,0,1
361,687,30,1,2,0,1,1,2862,36,1,1
362,689,31,1,2,1,3,0,3651,12,1,1
363,690,25,1,2,1,0,0,975,15,4,1
364,691,25,0,1,1,1,1,2631,15,6,1
365,692,29,1,2,1,1,1,2896,24,5,1
366,696,29,1,2,1,0,1,1103,12,5,1
367,699,40,1,3,2,0,2,1905,15,3,1
368,701,46,1,2,0,0,0,6331,48,1,2
369,702,47,0,2,0,1,2,1377,24,5,1
370,703,41,1,2,1,1,1,2503,30,0,1
371,704,32,0,2,1,0,1,2528,27,0,1
372,706,24,1,2,1,1,1,6560,48,1,2
373,707,25,0,2,2,0,1,2969,12,4,2
374,708,25,0,2,1,0,1,1206,9,5,1
375,709,37,1,1,1,0,1,2118,9,5,1
376,711,35,0,2,0,0,0,1198,6,3,2
377,713,25,1,1,1,0,0,1138,9,5,1
378,714,27,1,3,1,0,1,14027,60,1,2
379,719,31,1,2,1,1,1,6148,20,1,1
380,720,34,1,3,1,0,2,1337,9,5,2
381,721,24,0,2,2,3,1,433,6,3,2
382,722,24,0,1,1,0,0,1228,12,1,2
383,723,66,0,1,1,2,1,790,9,5,1
384,727,25,0,2,2,0,0,1882,18,5,2
385,728,59,0,2,2,0,1,6416,48,0,2
386,729,36,1,2,1,3,2,1275,24,0,1
387,730,33,1,2,1,0,1,6403,24,5,1
388,731,21,1,1,2,0,0,1987,24,5,2
389,732,44,0,1,1,0,1,760,8,5,1
390,736,23,0,3,2,0,1,11560,24,1,2
391,737,35,1,1,1,1,0,4380,18,1,1
392,739,26,0,1,2,1,1,4280,30,0,2
393,740,32,1,2,1,1,0,2325,24,1,1
394,741,23,1,1,1,0,1,1048,10,5,1
395,743,22,1,2,1,2,0,2483,24,4,1
396,745,28,1,1,1,0,0,1797,13,0,1
397,746,23,0,2,2,0,0,2511,15,1,1
398,747,37,0,1,1,0,0,1274,12,1,2
399,750,49,0,2,1,0,0,428,6,4,1
400,751,23,0,1,1,0,0,976,18,1,2
401,752,23,0,1,2,1,1,841,12,0,1
402,756,74,1,0,1,0,2,1299,6,1,1
403,759,35,1,2,1,0,0,691,12,1,2
404,761,24,0,2,2,0,0,2124,18,4,2
405,762,24,1,1,1,0,0,2214,12,5,1
406,765,40,1,1,1,0,1,1155,12,5,1
407,766,31,1,1,1,0,0,3108,30,4,2
408,768,28,1,2,2,0,1,3617,12,4,1
409,771,25,0,3,1,0,0,8065,36,3,2
410,774,66,1,0,0,2,2,1480,12,1,1
411,777,25,0,2,1,0,0,3509,18,5,1
412,779,67,0,2,1,0,1,3872,18,6,1
413,780,25,1,2,1,0,1,4933,39,5,2
414,782,31,1,1,1,0,1,1410,12,3,1
415,783,23,0,1,1,1,1,836,12,1,2
416,785,35,1,1,1,3,1,1941,18,0,1
417,788,50,1,2,0,0,1,6224,48,3,2
418,789,27,1,2,1,0,0,5998,40,3,2
419,790,39,0,2,1,0,1,1188,21,0,2
420,793,51,1,2,0,0,2,2892,24,4,1
421,801,48,0,1,2,0,1,1795,18,5,1
422,802,24,0,2,1,0,0,4272,20,4,1
423,805,24,1,2,1,0,0,9271,36,1,2
424,806,26,1,1,1,0,1,590,6,5,1
425,808,55,1,3,0,0,1,9283,42,1,1
426,809,26,0,0,2,0,1,1778,15,1,2
427,810,26,1,2,1,0,1,907,8,0,1
428,811,28,1,1,1,0,1,484,6,5,1
429,812,24,1,2,1,0,0,9629,36,1,2
430,813,54,1,2,1,0,0,3051,48,2,2
431,814,46,1,2,0,0,0,3931,48,1,2
432,815,54,0,2,2,0,1,7432,36,1,1
433,818,43,1,3,1,0,0,15857,36,7,1
434,819,26,1,2,1,0,0,1345,18,5,2
435,821,24,1,2,1,0,2,3016,12,5,1
436,822,41,1,2,1,0,0,2712,36,4,2
437,823,47,1,1,1,0,0,731,8,1,1
438,825,30,1,2,1,0,0,1602,21,1,1
439,826,33,0,2,2,0,0,3966,18,1,2
440,831,23,0,2,2,0,0,1216,18,1,2
441,832,29,1,2,2,0,0,11816,45,0,2
442,834,25,0,1,1,0,2,2327,15,5,2
443,835,48,1,2,1,0,0,1082,12,1,2
444,838,63,1,2,1,0,0,2957,24,1,1
445,840,29,1,2,1,0,0,5179,36,4,2
446,848,59,1,2,1,0,0,1364,9,5,1
447,849,57,1,1,1,0,0,709,12,5,2
448,850,33,1,2,2,0,0,2235,20,1,2
449,853,32,1,1,0,0,0,1442,18,1,2
450,858,29,0,2,1,0,0,3959,15,1,2
451,862,35,0,2,1,0,0,2439,24,5,2
452,866,27,0,2,1,0,0,2389,18,5,1
453,869,24,0,2,2,0,0,652,12,4,1
454,871,46,1,2,1,0,2,1343,6,1,1
455,872,26,1,2,1,1,0,1382,24,0,1
456,874,29,1,1,1,0,0,3590,12,4,1
457,875,40,0,2,1,3,1,1322,11,1,1
458,876,36,1,3,0,0,0,1940,18,5,1
459,878,27,1,3,0,0,0,1422,9,1,2
460,884,43,1,2,1,0,1,4057,24,4,2
461,885,53,0,2,1,0,0,795,12,3,2
462,887,23,1,2,1,0,1,15672,48,0,2
463,890,43,1,3,1,0,0,2442,27,0,1
464,892,38,1,1,1,0,0,2171,12,1,1
465,893,34,1,2,1,0,1,5800,36,1,1
466,896,28,0,3,2,0,0,2606,21,5,1
467,899,42,1,2,1,0,0,4153,18,4,2
468,900,43,1,2,2,0,0,2625,16,1,2
469,905,20,1,3,2,0,0,1107,12,5,1
470,911,25,0,1,1,0,1,4736,24,4,2
471,914,31,1,2,2,0,0,3161,24,0,2
472,915,32,0,3,1,0,1,18424,48,7,2
473,917,68,1,3,1,0,0,14896,6,1,2
474,918,33,1,2,1,1,0,2359,24,4,2
475,919,39,1,3,2,0,0,3345,24,4,2
476,922,22,0,2,2,0,0,1366,9,5,2
477,923,30,1,2,2,0,1,2002,12,1,1
478,924,55,1,2,1,0,0,6872,24,4,2
479,925,46,1,2,1,0,0,697,12,1,2
480,926,21,0,2,2,0,0,1049,18,4,1
481,927,39,1,2,0,0,0,10297,48,1,2
482,929,43,1,1,1,0,0,1344,12,1,1
483,930,24,1,1,1,0,0,1747,24,4,1
484,931,22,0,2,1,0,1,1670,9,5,2
485,934,23,0,2,1,0,0,1498,12,5,1
486,935,30,1,3,1,1,1,1919,30,5,2
487,936,28,0,1,1,0,2,745,9,5,2
488,937,30,1,3,2,0,1,2063,6,5,1
489,938,42,1,2,0,0,1,6288,60,3,2
490,944,46,0,2,2,0,0,1845,15,4,1
491,945,30,0,2,1,2,1,8358,48,1,1
492,946,30,1,2,0,2,0,3349,24,4,2
493,950,40,1,0,1,0,1,3590,18,0,1
494,951,24,1,2,1,0,0,2145,36,0,2
495,952,28,0,2,2,2,1,4113,24,1,2
496,954,29,0,2,1,0,0,1893,12,1,1
497,955,57,0,3,2,3,0,1231,24,5,1
498,957,37,1,1,1,0,1,1154,9,5,1
499,958,45,1,1,1,0,0,4006,28,1,2
500,959,30,1,2,0,1,1,3069,24,4,1
501,961,47,1,2,1,0,1,2353,21,1,1
502,964,22,1,1,1,0,1,454,6,6,1
503,966,23,1,1,1,2,1,2520,27,5,2
504,969,40,1,1,1,0,0,3939,11,1,1
505,970,22,1,2,1,1,1,1514,15,6,1
506,972,29,0,0,2,0,0,1193,24,1,2
507,973,36,1,2,2,0,0,7297,60,0,2
508,975,57,0,1,1,2,2,1258,24,5,1
509,976,64,0,2,1,0,1,753,6,5,1
510,979,25,1,2,2,1,1,1264,15,1,2
511,980,49,1,2,1,0,1,8386,30,4,2
512,982,28,0,3,1,1,2,2923,21,1,1
513,983,26,1,2,1,0,0,8229,36,1,2
514,985,25,0,2,2,0,0,1433,15,4,1
515,986,33,1,2,1,0,2,6289,42,0,1
516,988,29,1,3,0,0,0,6579,24,1,1
517,989,48,1,1,1,0,1,1743,24,5,1
518,993,30,1,3,1,0,0,3959,36,4,1
519,996,40,1,3,1,0,0,3857,30,1,1
520,998,23,1,2,0,0,0,1845,45,5,2
521,999,27,1,2,1,1,1,4576,45,1,1
