Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,class
644,32,1,3,1,0,0,1880,18,5,1
170,33,1,2,2,0,0,950,15,1,2
691,25,0,1,1,1,1,2631,15,6,1
31,27,1,2,1,0,0,4020,24,4,1
174,26,1,2,1,0,0,3414,21,3,2
823,47,1,1,1,0,0,731,8,1,1
334,23,1,2,2,0,0,4110,24,4,2
936,28,0,1,1,0,2,745,9,5,2
535,33,1,2,2,0,2,2319,21,3,2
155,20,0,2,2,0,0,1282,12,4,2
713,25,1,1,1,0,0,1138,9,5,1
553,27,1,2,1,1,1,1995,12,1,1
782,31,1,1,1,0,1,1410,12,3,1
588,47,1,1,1,0,0,1217,18,2,2
139,44,0,1,2,0,2,1881,12,5,1
562,29,0,2,1,0,2,683,6,5,1
714,27,1,3,1,0,1,14027,60,1,2
927,39,1,2,0,0,0,10297,48,1,2
583,33,1,1,2,0,1,2384,36,6,2
850,33,1,2,2,0,0,2235,20,1,2
285,35,0,1,1,0,0,10722,47,1,1
783,23,0,1,1,1,1,836,12,1,2
626,41,1,2,1,0,2,2116,6,4,1
858,29,0,2,1,0,0,3959,15,1,2
926,21,0,2,2,0,0,1049,18,4,1
479,44,1,2,1,0,0,1478,15,4,1
111,23,0,2,2,0,2,392,15,3,1
500,27,0,2,1,0,0,3123,24,1,2
129,29,0,2,1,0,0,3499,12,1,2
684,31,1,1,1,1,1,9857,36,0,1
931,22,0,2,1,0,1,1670,9,5,2
441,30,0,2,1,0,0,1620,12,4,1
88,30,1,3,1,1,0,2249,18,1,1
825,30,1,2,1,0,0,1602,21,1,1
177,52,1,2,1,2,0,338,6,5,1
146,39,0,2,1,0,0,860,6,1,1
47,23,0,0,2,2,0,1352,6,1,1
342,25,1,2,2,2,1,3213,18,5,1
914,31,1,2,2,0,0,3161,24,0,2
543,34,1,1,1,0,2,2864,18,4,2
832,29,1,2,2,0,0,11816,45,0,2
482,57,0,2,2,3,0,3622,30,4,1
494,39,1,1,2,0,0,2122,12,1,1
899,42,1,2,1,0,0,4153,18,4,2
627,29,1,2,1,1,1,1437,9,1,2
375,37,0,2,2,0,0,7685,48,0,2
624,65,1,2,0,0,0,2600,18,5,2
226,27,1,2,1,3,1,10961,48,5,2
341,26,0,1,2,0,0,3599,21,4,1
41,26,1,2,1,2,1,1158,12,5,1
872,26,1,2,1,1,0,1382,24,0,1
702,47,0,2,0,1,2,1377,24,5,1
216,31,1,2,1,0,0,3104,18,0,1
983,26,1,2,1,0,0,8229,36,1,2
809,26,0,0,2,0,1,1778,15,1,2
470,22,1,2,2,1,1,3092,24,5,2
188,20,1,2,1,1,0,674,12,5,2
925,46,1,2,1,0,0,697,12,1,2
248,26,1,2,1,0,2,1925,24,4,1
746,23,0,2,2,0,0,2511,15,1,1
383,26,1,2,1,0,2,1330,12,1,1
268,45,1,3,1,0,0,8978,14,1,2
687,30,1,2,0,1,1,2862,36,1,1
349,32,1,2,0,3,1,1136,9,3,2
862,35,0,2,1,0,0,2439,24,5,2
655,22,1,2,0,0,0,3973,14,1,1
745,28,1,1,1,0,0,1797,13,0,1
15,32,0,1,1,1,0,1282,24,5,2
378,57,1,3,0,0,1,14318,36,1,2
866,27,0,2,1,0,0,2389,18,5,1
589,60,1,2,1,0,0,2246,12,4,2
191,34,1,1,0,1,1,3844,48,0,2
545,43,1,2,0,0,0,1333,24,1,2
207,26,1,2,1,0,1,1424,12,2,1
158,38,1,2,1,1,1,3512,24,1,1
339,31,1,1,1,0,1,1521,10,4,1
703,41,1,2,1,1,1,2503,30,0,1
975,57,0,1,1,2,2,1258,24,5,1
449,61,1,2,1,3,1,1512,15,6,2
359,23,0,2,2,0,0,2406,30,4,2
538,42,1,3,0,0,0,7763,48,1,2
849,57,1,1,1,0,0,709,12,5,2
330,75,1,3,0,0,0,6615,24,1,1
257,29,1,2,0,0,0,2149,12,5,2
631,44,1,2,1,0,0,1553,18,4,2
819,26,1,2,1,0,0,1345,18,5,2
250,39,0,1,1,3,0,666,6,1,1
176,42,1,2,1,0,0,2577,12,4,1
993,30,1,3,1,0,0,3959,36,4,1
790,39,0,2,1,0,1,1188,21,0,2
751,23,0,1,1,0,0,976,18,1,2
127,30,1,2,1,0,1,639,12,6,2
429,55,0,0,0,0,0,1190,18,6,2
813,54,1,2,1,0,0,3051,48,2,2
701,46,1,2,0,0,0,6331,48,1,2
329,28,1,2,1,0,1,1068,6,5,1
260,27,1,2,1,0,0,1657,12,4,1
235,30,1,3,1,0,0,1823,24,5,2
51,30,1,3,1,0,1,5965,27,1,1
723,66,0,1,1,2,1,790,9,5,1
869,24,0,2,2,0,0,652,12,4,1
77,51,1,2,1,0,1,4771,11,5,1
516,40,1,1,1,0,0,1361,6,1,1
338,28,1,2,1,0,0,4169,24,4,1
148,28,1,2,1,0,0,5371,36,4,1
186,74,0,3,0,0,1,5129,9,1,2
706,24,1,2,1,1,1,6560,48,1,2
143,22,1,2,1,0,0,2462,18,4,2
189,33,0,2,1,0,1,3244,18,4,1
289,48,1,2,1,0,0,1024,24,5,2
309,22,1,1,2,0,1,276,9,1,1
634,25,0,1,1,0,1,1355,24,1,2
766,31,1,1,1,0,0,3108,30,4,2
456,36,1,2,2,0,0,3905,11,1,1
295,26,0,2,1,0,1,9960,48,4,2
101,24,1,2,2,0,1,2323,36,5,1
663,35,1,3,1,0,1,1050,6,4,1
548,24,0,1,1,0,0,626,12,5,2
531,28,0,2,2,1,1,2631,15,1,2
573,22,0,1,1,0,0,806,15,0,1
818,43,1,3,1,0,0,15857,36,7,1
25,36,1,1,1,0,0,1374,6,4,1
32,30,1,2,1,1,1,5866,18,1,1
353,28,1,2,2,0,0,6199,12,5,2
954,29,0,2,1,0,0,1893,12,1,1
213,66,1,3,1,0,2,1908,30,0,2
208,21,1,1,1,0,0,6568,24,0,1
876,36,1,3,0,0,0,1940,18,5,1
759,35,1,2,1,0,0,691,12,1,2
653,42,1,3,1,1,1,8086,36,1,2
554,67,0,3,1,0,1,1199,9,3,1
388,27,1,2,1,2,1,2326,15,0,1
291,28,1,3,2,0,1,9398,36,1,2
205,38,1,3,0,0,0,10623,30,1,1
838,63,1,2,1,0,0,2957,24,1,1
896,28,0,3,2,0,0,2606,21,5,1
831,23,0,2,2,0,0,1216,18,1,2
727,25,0,2,2,0,0,1882,18,5,2
63,25,1,2,1,0,1,14421,48,0,2
325,39,1,1,1,0,0,3398,8,1,1
374,60,0,3,0,1,1,14782,60,7,2
605,22,1,2,1,2,0,2828,24,4,1
30,36,1,2,1,3,1,1913,18,0,1
957,37,1,1,1,0,1,1154,9,5,1
37,37,1,2,1,0,2,2100,18,5,2
743,22,1,2,1,2,0,2483,24,4,1
131,29,1,2,1,0,0,6887,36,3,2
1,22,0,2,1,0,1,5951,48,5,2
442,29,1,2,1,0,1,2629,20,7,1
355,23,1,1,1,0,1,1246,24,1,2
944,46,0,2,2,0,0,1845,15,4,1
934,23,0,2,1,0,0,1498,12,5,1
524,26,0,1,1,0,1,1113,18,5,1
664,50,0,1,1,0,2,1047,6,3,1
690,25,1,2,1,0,0,975,15,4,1
461,36,1,2,1,0,0,1721,15,1,1
802,24,0,2,1,0,0,4272,20,4,1
466,29,0,1,2,0,0,1659,24,5,2
10,25,0,2,2,0,1,1295,12,1,2
610,22,0,2,1,1,0,741,12,2,2
840,29,1,2,1,0,0,5179,36,4,2
398,46,1,2,2,0,1,1223,12,1,2
668,43,1,2,2,0,0,4843,12,1,2
811,28,1,1,1,0,1,484,6,5,1
972,29,0,0,2,0,0,1193,24,1,2
293,56,1,2,0,0,2,4796,42,1,1
504,24,0,2,2,0,0,1207,24,1,2
439,26,0,0,1,0,2,609,12,0,2
521,24,0,2,1,0,0,3190,18,5,2
853,32,1,1,0,0,0,1442,18,1,2
142,27,1,3,1,0,0,3416,27,5,1
321,32,1,2,1,0,0,1938,24,5,2
410,20,0,2,1,0,1,1967,24,5,1
774,66,1,0,0,2,2,1480,12,1,1
485,47,1,3,1,0,1,1209,6,1,2
822,41,1,2,1,0,0,2712,36,4,2
58,23,0,3,1,0,2,1961,18,1,1
640,27,0,0,1,0,0,750,18,3,2
711,35,0,2,0,0,0,1198,6,3,2
368,42,1,2,1,0,0,3446,36,4,2
457,35,1,2,0,0,0,3386,12,1,2
422,47,1,1,1,0,1,958,12,1,1
118,23,0,2,1,2,0,4281,33,4,2
454,31,1,2,1,0,0,4817,24,1,2
194,21,1,2,2,1,1,3031,45,5,2
915,32,0,3,1,0,1,18424,48,7,2
765,40,1,1,1,0,1,1155,12,5,1
14,28,0,2,2,0,0,1403,15,1,1
145,30,1,2,1,1,1,3566,48,0,1
666,34,1,2,1,3,1,3496,30,4,1
84,52,1,1,1,0,0,2315,10,5,1
834,25,0,1,1,0,2,2327,15,5,2
689,31,1,2,1,3,0,3651,12,1,1
958,45,1,1,1,0,0,4006,28,1,2
431,29,1,3,1,0,1,11328,24,7,2
731,21,1,1,2,0,0,1987,24,5,2
217,23,1,2,1,0,2,3913,36,5,1
887,23,1,2,1,0,1,15672,48,0,2
982,28,0,3,1,1,2,2923,21,1,1
762,24,1,1,1,0,0,2214,12,5,1
768,28,1,2,2,0,1,3617,12,4,1
425,21,1,2,2,0,1,2779,18,1,1
3,45,1,2,0,0,0,7882,42,4,1
613,22,0,2,2,0,0,3632,24,1,1
976,64,0,2,1,0,1,753,6,5,1
22,48,1,1,2,0,0,2241,10,1,1
230,26,1,2,1,0,2,4210,36,5,2
761,24,0,2,2,0,0,2124,18,4,2
728,59,0,2,2,0,1,6416,48,0,2
979,25,1,2,2,1,1,1264,15,1,2
