age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
41,4,84817,11,0,10,4,4,0,3887,0,40,39,0
25,4,289980,9,4,6,1,4,1,0,0,35,39,0
42,4,36296,9,0,14,1,4,1,0,0,40,39,0
25,4,247025,13,4,12,1,4,1,3325,0,48,39,0
23,4,358434,13,4,10,4,2,0,0,0,40,39,0
22,4,245524,8,4,8,1,4,1,0,0,35,39,0
29,4,88432,11,2,3,0,4,1,0,0,50,39,0
65,0,293385,1,2,0,0,2,1,0,0,30,39,0
43,7,78765,10,0,4,4,4,1,0,0,40,39,0
32,2,206609,9,4,8,3,4,1,0,0,40,39,0
36,4,350783,9,4,10,1,4,0,0,0,38,39,0
33,4,212918,10,4,13,1,4,1,0,0,70,39,0
29,4,180758,12,4,3,1,4,1,0,0,60,39,0
24,4,137591,10,4,12,3,4,1,0,1762,40,39,0
41,6,29762,10,2,5,0,4,1,5013,0,70,39,0
29,4,134152,9,5,7,1,4,1,0,0,40,39,0
44,6,216921,6,2,8,0,4,1,0,0,70,39,0
19,4,42750,10,4,8,3,4,1,0,0,20,39,0
26,4,214637,9,0,8,4,4,0,0,0,35,39,0
25,4,295919,12,4,1,4,4,0,0,0,40,39,0
55,4,56645,13,6,5,3,1,1,0,0,40,39,0
49,4,94215,8,0,7,1,4,0,0,0,40,39,0
30,7,70617,14,2,10,0,1,1,0,0,10,3,0
17,4,234780,9,4,5,3,2,1,0,0,40,39,0
21,4,172047,10,4,13,3,4,1,0,0,20,39,0
18,4,120544,5,4,8,3,2,1,0,0,15,39,0
54,4,351760,10,0,1,1,4,0,0,0,35,39,0
24,4,450695,10,4,12,3,4,1,0,0,35,39,0
25,2,206002,9,0,13,4,4,0,0,0,40,39,0
41,4,29702,11,4,3,1,4,1,0,0,30,39,0
25,4,169124,9,2,14,0,4,1,0,0,45,39,0
20,0,232022,10,4,0,3,4,0,0,0,40,39,0
37,4,318168,9,4,7,1,2,1,1055,0,20,39,0
45,4,176841,9,4,8,1,4,0,0,0,40,8,0
21,6,318987,11,2,5,0,4,1,0,0,40,39,0
26,2,214215,7,2,8,2,4,1,0,0,50,39,0
38,6,203836,3,4,14,1,4,1,0,0,40,39,0
42,6,93099,10,2,10,3,4,0,0,0,25,39,0
26,4,33939,10,4,13,3,4,1,0,0,20,39,0
18,5,38307,7,4,5,3,4,1,0,0,30,39,0
36,4,67728,9,2,3,0,4,1,5013,0,40,22,0
41,4,197372,6,2,14,0,4,1,0,0,70,39,0
23,0,449101,9,2,0,3,4,0,0,0,30,39,0
33,4,172579,9,2,3,5,4,0,0,0,40,39,0
22,7,203518,10,4,10,1,4,0,0,0,16,39,0
20,4,275190,9,4,1,3,4,0,0,0,40,39,0
82,0,29441,4,6,0,1,4,1,0,0,5,39,0
25,4,175382,9,4,1,1,4,1,0,0,45,39,0
41,4,171351,10,2,3,0,4,1,0,0,40,39,0
29,4,167610,9,0,7,4,4,0,0,0,40,39,0
49,4,173115,6,5,4,1,2,1,4416,0,99,39,0
34,4,90705,10,2,13,0,4,1,0,1485,40,39,0
26,4,224943,11,4,12,2,2,1,0,0,65,39,0
28,2,172270,10,0,1,4,4,0,0,0,45,39,0
23,7,279243,9,2,11,0,4,1,0,0,38,39,0
27,4,123984,12,4,8,1,1,0,0,0,35,30,0
52,4,201310,13,0,4,1,4,1,0,0,40,0,0
19,4,456736,10,4,8,1,4,1,0,0,35,39,0
33,4,137088,13,2,7,0,3,1,0,0,40,7,0
25,4,284061,10,4,13,1,4,1,0,0,45,39,0
52,6,102346,10,4,10,3,4,0,0,0,35,39,0
58,5,183870,6,2,14,5,4,0,0,0,40,39,0
30,4,202450,9,4,3,3,4,1,0,0,40,39,0
36,4,644278,9,2,3,0,4,1,0,0,25,39,0
34,4,163110,14,2,12,0,4,1,0,0,40,39,0
19,4,117595,9,4,8,3,4,1,0,0,24,39,0
76,0,152802,10,2,0,0,4,1,0,0,8,39,0
20,4,42706,10,4,5,1,4,1,0,0,72,39,0
19,4,66838,10,4,12,3,4,0,0,0,9,39,0
60,4,320376,4,2,7,5,4,0,0,0,40,39,0
26,4,164018,13,2,12,0,4,1,4064,0,50,39,0
59,2,114401,9,6,8,1,4,0,0,1504,19,39,0
40,4,271393,12,0,4,1,4,0,0,0,40,39,0
63,7,266565,9,0,1,1,4,0,0,0,27,39,0
22,4,186849,7,0,12,3,4,1,0,0,50,39,0
35,6,89508,10,2,4,0,4,1,3908,0,60,39,0
35,4,57640,9,2,3,0,4,1,0,0,35,39,0
27,4,261375,13,4,1,3,2,0,0,0,40,39,0
67,4,335979,9,6,12,1,4,0,991,0,18,39,0
22,0,334593,10,4,0,1,4,1,0,0,40,39,0
49,1,181657,10,0,4,1,4,0,0,0,50,39,0
23,4,64520,6,4,3,1,4,1,0,0,40,39,0
19,4,45766,10,4,6,1,4,1,0,0,45,39,0
28,4,206125,10,2,3,0,4,1,0,0,40,39,0
29,4,266583,9,2,12,0,2,1,2829,0,38,39,0
33,4,300497,10,0,7,1,2,1,0,0,40,39,0
38,4,168407,10,0,1,4,4,0,5721,0,44,39,0
39,4,98886,4,2,8,0,4,1,4508,0,40,26,0
22,4,355686,10,4,1,1,4,0,0,0,40,39,0
23,4,131275,9,4,3,3,0,1,0,0,40,39,0
27,4,216858,16,4,10,1,4,1,0,0,52,39,0
37,4,200153,9,2,3,0,4,1,0,0,40,39,0
34,4,238305,10,2,8,5,4,0,0,1628,12,0,0
30,6,113838,11,2,12,0,4,1,3137,0,60,11,0
22,2,121144,13,4,10,3,2,0,0,0,18,39,0
41,5,32016,9,2,12,0,4,1,0,0,62,39,0
26,4,248776,10,4,1,1,4,0,0,0,40,39,0
33,4,188403,9,4,7,1,4,1,0,0,44,39,0
34,4,128063,9,0,8,4,4,0,0,0,36,39,0
32,4,237478,7,0,7,4,4,0,0,0,40,39,0
70,4,298470,13,6,12,1,4,1,0,0,30,39,0
36,4,158363,8,2,7,0,4,1,0,0,40,39,0
20,4,27337,9,4,6,3,0,1,0,0,48,39,0
24,4,72119,13,4,1,3,4,1,2202,0,30,39,0
51,4,128272,10,2,4,0,4,1,0,0,40,39,0
41,4,175883,9,2,14,0,4,1,0,0,60,39,0
30,4,127875,13,2,1,5,4,0,0,0,40,39,0
41,4,174189,5,5,8,1,4,1,0,0,40,39,0
21,4,143604,10,4,8,3,4,0,0,0,29,0,0
28,4,33798,11,2,7,0,4,1,0,0,40,39,0
25,7,257064,10,2,1,0,2,1,0,0,38,39,0
38,7,149135,12,4,1,1,2,1,0,0,40,39,0
61,4,213321,10,2,4,0,4,1,0,1672,40,39,0
28,7,189346,10,2,8,0,4,1,0,0,40,39,0
22,4,189203,13,4,10,1,4,1,0,0,50,39,0
28,4,114158,13,4,10,3,4,0,0,0,15,39,0
61,1,197311,14,6,10,4,4,0,0,0,40,39,0
50,4,180439,10,2,8,0,4,1,0,0,33,39,0
20,4,267706,9,4,12,4,4,0,0,0,38,39,0
43,4,105188,9,4,8,1,2,1,0,0,40,14,0
57,4,82676,9,0,14,1,4,1,0,0,48,39,0
20,0,210781,10,4,0,3,4,0,0,0,10,39,0
56,4,108276,13,6,8,1,4,0,0,0,40,39,0
68,6,241174,4,2,4,0,4,1,0,0,16,39,0
19,4,199484,10,4,8,3,4,0,0,0,25,39,0
29,4,169631,9,3,1,3,4,0,0,0,40,39,0
21,4,147884,10,2,1,2,4,0,0,0,40,39,0
50,4,71898,3,2,7,5,1,0,0,0,35,30,0
38,4,153685,7,0,7,4,2,0,0,0,52,39,0
17,2,161955,7,4,1,3,0,0,0,0,30,39,0
26,4,365289,9,0,7,1,4,1,0,0,40,39,0
21,6,103277,8,2,1,5,4,0,4508,0,30,32,0
55,2,98545,6,2,1,0,4,1,0,0,40,39,0
60,6,119575,9,2,12,0,4,1,0,0,50,39,0
25,4,108542,13,4,4,3,4,1,0,0,35,39,0
29,2,45554,10,0,1,4,4,0,0,0,40,39,0
52,4,208302,9,2,12,0,4,1,0,0,36,39,0
20,4,117222,9,4,8,3,4,1,0,0,50,39,0
40,5,29520,9,4,8,1,4,0,0,0,65,39,0
47,1,409464,9,0,3,1,4,1,0,0,40,39,0
25,4,239461,14,4,10,3,4,1,0,0,35,39,0
23,1,216853,11,2,6,0,4,1,0,0,25,39,0
28,4,297742,10,4,7,3,4,0,0,0,40,39,0
39,4,343476,9,2,3,0,4,1,0,0,30,39,0
65,4,207281,10,2,11,0,4,1,0,0,16,39,0
36,7,345712,9,2,4,0,4,1,0,0,40,39,0
39,4,70240,3,3,8,4,1,0,0,0,40,30,0
28,4,134813,9,4,10,3,4,1,0,0,40,39,0
26,4,234258,9,2,7,0,2,1,0,0,40,39,0
21,4,174907,12,4,12,3,4,0,0,0,32,39,0
30,4,41493,10,0,1,1,4,0,0,0,35,2,0
64,4,187601,10,6,1,1,4,0,0,0,40,39,0
36,4,183279,9,2,3,0,4,1,0,0,40,39,0
57,4,64960,11,2,10,0,4,1,0,1902,45,39,0
33,4,91811,9,5,14,1,4,1,0,0,40,39,0
22,4,228465,9,2,14,0,2,1,0,0,40,39,0
43,4,143583,6,2,6,0,2,1,0,0,40,39,0
43,4,106900,13,2,7,0,4,1,0,0,40,39,0
17,0,237078,7,4,0,3,4,0,0,0,35,39,0
28,4,145284,9,0,14,1,4,1,0,0,70,39,0
54,4,338089,14,5,4,1,4,1,0,0,40,39,0
34,4,243776,9,0,3,4,4,1,0,0,40,39,0
72,6,243769,15,4,10,1,4,1,0,1429,20,39,0
90,2,187749,12,2,1,0,1,1,0,0,20,30,0
37,4,160192,12,4,10,1,4,1,6849,0,80,39,0
27,4,106276,9,4,1,3,4,0,0,0,40,39,0
36,4,357619,13,2,4,5,4,0,0,0,60,11,0
18,4,334427,6,4,5,3,4,1,0,0,36,39,0
30,4,109117,11,4,6,3,4,1,0,0,45,39,0
23,4,353010,7,4,3,4,4,1,0,0,35,39,0
29,7,191355,14,4,10,1,4,1,0,0,40,39,0
67,0,37170,4,0,0,1,4,1,0,0,3,39,0
40,4,121492,10,4,7,1,2,1,0,0,48,39,0
20,4,460356,8,4,8,1,4,1,0,0,30,26,0
38,4,103323,9,2,4,0,4,1,0,0,40,39,0
43,4,223934,10,4,1,1,4,0,0,0,40,39,0
38,4,314310,14,2,10,0,4,1,0,0,45,39,0
37,4,122493,9,2,14,0,4,1,0,0,45,39,0
22,4,221406,10,4,8,1,4,0,0,0,20,39,0
33,4,96635,10,4,12,1,1,1,0,0,26,35,0
24,4,298227,10,2,4,0,4,1,0,0,50,39,0
30,4,255885,10,2,12,0,4,1,0,0,50,39,0
30,4,130021,4,2,3,0,4,1,2829,0,40,39,0
32,4,140092,7,2,3,0,4,1,0,0,40,39,0
25,4,208999,10,5,1,3,4,1,0,0,40,39,0
23,1,41031,10,4,12,1,4,0,0,0,35,39,0
35,4,314897,4,2,3,0,4,1,0,0,40,33,0
25,4,195201,9,2,12,0,3,1,0,0,50,39,0
36,6,239415,9,2,5,0,4,1,0,0,35,39,0
25,4,132749,7,0,8,4,4,0,0,0,12,39,0
73,2,114561,3,6,8,2,1,0,0,0,25,30,0
42,4,115178,13,0,10,4,4,0,0,0,15,39,0
29,4,201404,9,4,7,1,4,1,0,0,56,39,0
28,0,174666,6,5,0,1,4,1,0,0,80,39,0
26,4,197967,9,4,3,3,4,1,0,0,40,39,0
34,4,93394,9,2,14,0,4,1,0,0,65,39,0
69,0,159077,7,2,0,0,4,1,0,0,48,39,0
31,4,347166,10,0,3,3,4,1,4650,0,40,39,0
30,4,229772,6,2,3,0,4,1,0,0,40,39,0
34,4,35595,13,2,12,0,4,1,0,0,40,39,0
24,4,200121,9,4,3,1,4,1,0,0,45,39,0
24,4,307267,13,4,1,1,4,0,0,0,40,39,0
28,4,301010,7,4,8,1,2,1,0,0,40,39,0
40,4,90222,10,4,12,1,4,0,0,0,40,39,0
54,2,180427,9,2,3,0,4,1,0,0,45,39,0
35,7,211115,10,4,11,1,2,1,0,0,40,39,0
42,4,112956,9,4,14,3,4,1,0,0,40,39,0
24,4,237262,10,4,1,1,4,0,0,0,35,39,0
59,4,168416,9,3,9,1,4,0,0,0,36,31,0
35,4,209629,13,4,10,1,4,1,0,0,40,39,0
27,4,36851,13,4,7,1,4,1,0,0,41,39,0
51,4,193720,9,2,3,0,4,1,0,0,42,39,0
24,7,506329,10,4,1,3,1,1,0,0,40,0,0
31,4,111363,13,4,4,1,4,1,0,0,40,39,0
42,4,413297,10,2,13,0,4,1,0,0,40,39,0
35,4,98900,10,0,1,4,4,0,0,0,40,39,0
31,2,219883,9,4,11,1,2,1,0,0,40,39,0
33,4,198211,9,2,13,0,4,1,0,0,40,39,0
30,1,42900,13,4,10,1,4,1,0,0,40,39,0
34,4,182006,7,4,1,1,4,0,4416,0,30,39,0
36,5,180419,9,2,5,0,4,1,0,0,45,39,0
30,4,72887,9,2,3,3,1,1,3411,0,40,39,0
58,4,293399,7,6,7,1,4,0,0,0,40,39,0
18,4,228216,9,4,6,3,4,1,0,0,20,39,0
30,4,53158,12,4,13,1,4,0,0,0,40,39,0
28,4,76313,10,2,3,0,0,1,0,0,60,39,0
47,6,131826,10,2,12,0,4,1,0,0,40,39,0
23,4,82998,10,4,12,1,4,1,0,0,30,39,0
24,4,316438,3,4,7,2,4,1,0,0,40,26,0
26,4,166301,13,4,13,1,4,1,0,0,40,39,0
26,4,177635,8,3,14,4,4,1,0,0,40,26,0
45,4,151817,14,5,13,4,4,0,0,0,36,39,0
31,4,36222,9,5,6,1,4,1,0,0,65,39,0
41,4,179875,7,0,8,4,3,0,0,0,40,39,0
48,4,113598,10,5,1,2,2,0,0,0,40,39,0
54,2,182543,10,6,1,4,4,0,0,0,40,26,0
32,2,73514,11,4,11,1,1,0,0,0,50,39,0
17,4,167878,7,4,8,3,4,1,0,0,20,39,0
23,4,415755,7,4,6,3,4,1,0,0,30,39,0
53,0,155233,8,2,0,5,4,0,0,0,40,22,0
43,5,196945,9,2,8,0,1,1,0,0,78,37,0
53,2,216931,4,2,14,0,4,1,0,0,38,39,0
35,2,103966,14,0,1,4,4,0,0,0,41,39,0
48,1,72808,7,0,1,1,4,0,0,0,42,39,0
28,4,116613,10,4,13,3,4,0,0,0,24,39,0
20,4,316043,7,4,8,3,2,1,594,0,20,39,0
32,4,344696,10,4,7,4,4,0,0,0,40,39,0
59,2,100776,11,0,1,1,4,0,0,0,40,39,0
48,4,175958,13,0,10,1,4,1,0,0,30,39,0
32,5,281030,9,4,3,1,4,1,0,0,40,39,0
17,0,34088,8,4,0,3,4,0,0,0,25,39,0
20,4,41432,10,4,1,3,4,0,0,0,46,39,0
25,6,189027,9,2,5,0,4,1,0,0,30,39,0
25,4,105930,9,4,8,3,4,0,0,0,40,39,0
34,4,190027,9,5,13,4,2,0,0,0,35,39,0
22,4,535027,10,4,14,4,2,1,0,0,15,39,0
72,4,38360,9,6,8,4,4,0,0,0,16,39,0
44,4,105936,12,0,1,4,4,0,0,0,40,39,0
26,4,276309,10,4,6,3,2,0,0,0,20,39,0
27,4,430672,13,4,10,1,4,1,0,0,55,39,0
31,4,162160,9,2,3,0,4,1,0,0,47,39,0
21,2,244074,9,4,8,1,4,0,0,0,22,39,0
18,4,190776,10,4,8,3,4,1,0,0,30,39,0
90,4,141758,5,4,1,1,4,0,0,0,40,39,0
41,1,187462,11,0,1,3,2,0,0,0,40,39,0
35,4,139012,13,2,8,0,1,1,0,0,40,40,0
32,4,296538,9,2,7,0,4,1,0,0,42,39,0
32,4,207172,10,4,12,2,4,0,0,0,40,39,0
43,2,301638,8,2,14,0,4,1,0,1579,40,39,0
37,2,98725,13,4,13,3,4,0,0,0,42,39,0
32,4,250853,11,0,1,1,4,1,0,0,40,39,0
29,4,97254,7,4,12,1,0,1,4101,0,40,39,0
30,4,377017,10,2,6,0,4,1,0,0,32,39,0
46,2,213668,7,4,8,1,4,1,0,0,40,39,0
55,4,750972,4,2,3,0,4,1,0,0,41,39,0
39,4,50700,9,2,10,0,4,1,0,0,40,39,0
40,4,119225,11,2,10,0,4,1,0,0,40,39,0
66,0,314347,9,2,0,0,2,1,0,0,40,39,0
19,2,53220,9,4,1,3,2,0,0,0,40,39,0
63,4,114424,10,5,7,2,2,0,0,0,37,39,0
64,4,159715,9,2,14,0,4,1,10566,0,40,39,0
24,4,300584,10,2,3,0,4,1,0,0,45,39,0
30,4,189759,13,4,12,1,4,1,0,0,40,39,0
17,4,200199,7,4,12,3,4,0,0,0,35,39,0
19,4,278115,10,4,8,3,4,1,0,0,12,39,0
62,0,72486,9,2,0,0,1,1,0,0,24,3,0
20,7,215443,10,4,3,3,4,1,0,0,38,39,0
41,4,99254,14,0,8,4,2,0,0,0,30,39,0
45,4,55272,11,2,3,0,4,1,0,0,40,39,0
33,4,191856,10,0,1,1,4,0,0,0,40,39,0
28,7,19395,10,4,1,1,4,0,0,0,38,39,0
26,4,101027,9,2,12,0,4,1,0,0,48,39,0
24,4,119329,13,4,12,1,4,0,0,0,60,39,0
32,4,227669,10,4,7,3,2,0,0,0,40,39,0
37,2,152587,10,4,3,1,4,1,0,0,40,39,0
24,6,236769,4,2,3,0,4,1,0,0,40,39,0
21,4,129674,10,4,4,1,2,1,0,0,48,26,0
50,4,334421,15,4,10,2,1,0,0,1590,25,3,0
28,7,38309,13,4,10,3,4,1,6849,0,40,39,0
26,1,48099,13,4,4,1,4,0,0,0,40,39,0
41,2,248406,9,5,14,3,4,1,0,0,40,39,0
38,4,358682,10,2,6,0,4,1,0,0,40,39,0
29,4,166220,13,4,12,3,4,0,0,0,50,39,0
53,4,242606,9,2,14,0,4,1,0,0,40,39,0
18,4,126021,9,4,3,3,4,0,0,0,20,39,0
26,4,182308,10,2,10,0,4,1,0,0,40,39,0
26,4,154966,10,2,3,0,4,1,0,0,40,33,0
54,4,175262,4,2,7,0,4,1,0,0,40,39,0
17,4,177629,7,4,12,3,4,0,0,0,20,39,0
19,4,206751,10,4,1,3,4,1,0,0,30,39,0
45,1,368947,13,4,11,1,2,0,0,0,40,39,0
41,4,43467,13,0,8,1,4,0,0,0,99,39,0
17,4,242718,7,4,12,3,4,1,0,0,12,39,0
41,4,67339,13,2,7,0,4,1,0,0,40,0,0
25,4,230292,9,2,3,0,4,1,0,0,40,39,0
33,4,184306,13,2,10,0,4,1,0,0,45,39,0
23,7,191165,10,4,11,1,4,1,0,0,15,39,0
